RH	AH
56.40833333	1.54125
56.58333333	1.451666667
53.55	1.45
55.64583333	1.492083333
54.57083333	1.495833333
54.93333333	1.515833333
54.79166667	1.675833333
66.9125	1.746666667
67.12083333	1.54
57.20416667	1.151666667
54.91666667	0.95125
55.78333333	1.11625
64.6	1.30625
62.10416667	1.18
55.38333333	1.099583333
60.3875	1.1775
67.02083333	1.385
66.21666667	1.692916667
60.47083333	1.7425
61.64583333	1.645833333
62.50833333	1.5775
62.8	1.550833333
69.75	1.479583333
66.2125	1.4675
72.33333333	1.512916667
67.8	1.409166667
73.89166667	1.65
71.16666667	1.59
68.82916667	1.67375
70.09166667	1.742916667
64.5	1.535416667
58.0125	1.442083333
62.00416667	1.465
62.23333333	1.36875
63.4875	1.314166667
45.86666667	0.82
50.62083333	0.6625
64.7875	0.687083333
71.81666667	0.807083333
75.7125	0.978333333
61.90833333	1.065
53.85	1.049166667
44.30833333	0.55125
35.075	0.489166667
36.1875	0.532083333
51.7	0.662083333
60.88333333	0.8925
53.7875	0.97375
26.425	0.323333333
42.91666667	0.427083333
54.325	0.53125
75.325	0.972083333
75.325	0.99625
63.45833333	0.745416667
66.79583333	0.964583333
75.32083333	1.180833333
72.65833333	0.92875
67.26666667	1.032916667
71.59583333	1.06625
77	1.003333333
71.2375	1.162916667
76.975	1.31875
81.10833333	1.171666667
71.875	1.031666667
63.71666667	1.09
60.4875	1.007083333
64.54583333	1.043333333
55.38333333	0.91375
29.64166667	0.472083333
31.1625	0.45875
51.63333333	0.617916667
56.7875	0.691666667
61.5775	0.826666667
52.08708333	0.93
52.12041667	0.93
55.60875	0.955416667
44.89166667	0.620833333
62.74583333	0.562083333
53.70833333	0.608333333
38.65416667	0.379166667
40.775	0.395416667
49.10416667	0.447083333
57.02083333	0.662083333
69.89583333	0.875833333
74.8	1.044166667
65.45416667	0.948333333
64.54583333	0.854583333
59.09583333	0.732083333
40.55833333	0.486666667
39.34166667	0.455416667
50.79583333	0.5
58.45833333	0.6125
52.71541667	0.91
52.74833333	0.907916667
65.32375	0.8825
61.07083333	0.93125
72.05	0.794166667
65.75	0.824166667
58.99583333	0.960833333
68.6625	1.044166667
64.10416667	0.940833333
65.6875	0.905416667
69.56666667	0.848333333
71.72916667	0.772083333
70.20416667	0.670833333
47.77916667	0.48
46.91666667	0.4475
66.275	0.607916667
64.99583333	0.689166667
44.24583333	0.527083333
59.06666667	0.683333333
55.85416667	0.652083333
53.88333333	0.500833333
47.88333333	0.493333333
50.97083333	0.432083333
49.48333333	0.411666667
39.6125	0.355833333
49.945	0.538333333
49.69666667	0.41125
37.8375	0.325416667
31.80833333	0.3125
51.74166667	0.504166667
43.9375	0.427083333
50.9625	0.512916667
50.17916667	0.497083333
46.60416667	0.41125
39.6	0.34375
35.4	0.3525
41.31333333	0.53375
53.93875	0.861666667
53.9725	0.86
54.015	0.825
59.15	0.647916667
60.66666667	0.8575
40.69583333	0.50375
30.2125	0.3375
42.625	0.409166667
44.4	0.463333333
42.18333333	0.462083333
47.69166667	0.455
54.175	0.593333333
74.3	0.685416667
75.1625	0.67375
78.37916667	0.657083333
78.725	0.70375
62.69583333	0.647083333
56.79583333	0.547916667
52.10833333	0.47625
42.66666667	0.326666667
35.10416667	0.240416667
32.0375	0.25125
67.45833333	0.57875
62.19166667	0.620416667
51.93333333	0.542916667
43.88333333	0.478333333
39.20416667	0.382083333
39.19166667	0.369166667
49.39583333	0.572916667
46.46666667	0.544583333
45.19291667	0.589583333
52.3125	0.765
49.925	0.8075
52.95833333	0.821666667
47.02083333	0.78
43.33333333	0.727083333
41.60416667	0.739166667
45.99166667	0.745833333
57.49166667	0.937916667
53.5	0.950416667
55.52916667	1.005833333
51.50416667	0.94625
44.98333333	0.91
49.56666667	0.951666667
62.75833333	1.233333333
57.9	1.22625
72.45	1.269166667
60.76666667	1.185416667
62.5375	1.115833333
54.0375	0.997083333
50.08333333	0.951666667
