CO	NMHC	NOx	NO2
891	740	919	788
894	737	913	805
907	753	886	819
973	827	825	888
1035	961	726	985
1146	1147	621	1148
1176	1162	600	1137
1057	935	720	982
974	763	861	865
1044	834	781	924
988	734	860	868
1016	781	799	918
929	659	920	851
876	576	1040	815
872	558	1054	807
888	574	1035	820
927	638	949	846
991	786	817	931
1317	1247	558	1360
1402	1462	449	1599
1222	1188	554	1265
1109	1060	650	1091
959	875	797	864
964	902	780	882
1006	1006	705	988
1002	968	732	920
997	975	739	926
1019	964	729	957
1192	1196	581	1222
1399	1387	487	1499
1419	1408	466	1531
1250	1094	600	1198
1156	916	687	1055
1064	783	785	954
1066	771	795	949
1031	741	821	927
973	663	889	887
937	600	985	873
930	616	969	893
949	640	902	909
979	707	851	959
1094	865	708	1061
1450	1322	490	1497
1508	1479	419	1685
1374	1255	504	1375
1308	1117	549	1261
1249	996	593	1198
1282	1023	573	1305
1253	988	589	1292
1222	924	612	1216
1201	882	638	1189
1238	985	592	1271
1434	1234	476	1520
1573	1436	407	1747
1552	1413	407	1724
1510	1297	458	1606
1165	870	671	1181
1177	837	670	1161
1135	800	705	1130
1070	739	767	1070
1034	715	801	1067
1014	731	784	1062
988	673	838	1034
975	668	874	1020
984	681	852	1020
1092	831	720	1143
1454	1299	457	1606
1446	1328	439	1620
1316	1105	511	1372
1283	1039	549	1308
1223	999	578	1258
1176	969	612	1196
1041	945	692	1082
1008	946	705	1016
962	807	821	901
1048	925	721	1022
1145	1074	593	1186
1198	1291	531	1295
1319	1399	497	1458
1274	1136	547	1233
1085	882	705	985
1017	760	806	922
1039	774	786	949
1027	751	798	936
952	662	905	887
930	609	968	864
942	665	923	912
897	594	999	870
928	631	985	908
987	738	833	957
1272	1111	563	1279
1452	1370	445	1581
1415	1278	483	1399
1099.02	904.85	734.61	1177.85
1203	951	618	1162
1258	1052	551	1297
1328	1123	508	1404
1260	1059	544	1319
1201	985	585	1252
1161	992	601	1211
1254	1112	533	1349
1452	1381	428	1661
1438	1374	435	1640
1273	1096	553	1350
1096	850	690	1146
1151	813	702	1156
1189	797	688	1157
1078	704	765	1077
1152	759	706	1113
1128	740	705	1113
1015	608	873	1027
979	547	952	1039
972	542	1029	1056
992	565	912	1074
1053	671	807	1137
1140	800	679	1209
1136	822	653	1184
1180	846	646	1206
1131	792	678	1177
1083	804	702	1105
1120	859	640	1167
1038	699	765	1042
1096	788	699	1115
1126	881	648	1140
1153	910	622	1208
1177	878	641	1224
1383	1119	522	1415
1363	1064	536	1350
1087	803	699	1130
1028	703	783	1070
1017	641	892	1044
1050	660	860	1071
1023	672	819	1069
940	583	942	991
963	617	902	1006
971	585	928	1004
887	488	1184	908
944	551	1063	985
970	592	909	1018
1034	651	861	1060
1160	765	711	1134
1283	887	607	1238
1387	981	535	1368
1325	921	570	1345
1057	641	803	1103
1078	668	855	1109
1159	762	742	1158
1195	795	710	1157
1217	861	642	1234
1542	1200	469	1520
1407	1066	525	1397
1189	837	665	1204
1208	911	613	1245
1207	861	649	1217
1056	699	787	1085
1128	771	733	1178
1119	778	705	1187
1077	701	761	1122
1036	636	845	1084
1016	647	824	1090
1103	730	735	1139
1176	880	634	1257
1430	1169	481	1543
1572	1374	411	1763
1243	1006	572	1349
1101	817	707	1157
1103	857	681	1182
1116	859	670	1197
1141	904	646	1249
1151	885	660	1222
1263	1008	597	1308
1324	1128	540	1441
1533	1439	416	1799
1626	1531	371	1937
1639	1510	378	1904
1346	1124	502	1490
1218	914	597	1291
1166	880	631	1280
1095	772	721	1175
958	601	947	1054
960	582	933	1062
972	571	931	1063
911	508	1048	1005
923	516	1049	1002
981	610	867	1068
1038	701	760	1102
1370	1118	495	1459
1471	1265	434	1655
1447	1167	466	1514
1329	1090	508	1401
1197	989	577	1297
1198	968	590	1264
1171	977	608	1234
1191	1011	620	1262
1213	1060	578	1292
1258	1124	552	1363
1413	1339	464	1611
1610	1573	381	1890
1710	1632	346	2028
1515	1295	435	1615
1199	916	613	1227
1128	818	674	1156
1108	798	694	1144
1038	709	768	1087
1004	646	823	1054
969	584	904	1021
938	559	942	1026
927	549	967	1008
977	673	830	1060
1011	685	823	1054
1228	984	588	1293
1521	1434	404	1809
1425	1178	468	1477
1339	1094	509	1376
1310	1046	552	1351
1250	1012	585	1249
1181	1015	617	1192
1272	1220	533	1353
1231	1064	618	1188
1286	1223	529	1350
1315	1225	509	1408
1494	1460	420	1682
1494	1381	422	1677
1545	1390	423	1676
1354	1094	517	1357
1301	998	553	1283
1144	826	661	1158
1080	732	748	1087
1013	671	817	1056
966	587	921	1017
959	578	909	1016
919	532	997	983
953	604	903	1020
1117	808	669	1178
1485	1265	441	1647
1583	1457	376	1808
1448	1187	471	1490
1294	1006	567	1296
1269	1016	579	1273
1247	985	581	1255
1239	1045	559	1312
1199	1041	574	1271
1216	1013	576	1277
1131	925	638	1158
1300	1149	530	1353
1358	1331	459	1518
1492	1425	417	1690
1413	1251	478	1504
1210	943	611	1224
1196	902	620	1185
1101	809	690	1123
1076	770	721	1093
1040	736	740	1099
989	667	824	1048
966	639	843	1033
912	587	922	1002
960	668	841	1038
1028	784	709	1110
1375	1134	504	1467
1522	1466	380	1822
1400	1227	465	1542
1323	1144	502	1405
1250	990	579	1262
1283	1048	550	1336
1171	993	597	1208
1264	1081	555	1323
1301	1152	525	1343
1321	1175	525	1366
1343	1298	477	1495
1493	1444	417	1702
1545	1403	407	1743
1477	1247	456	1562
1202	864	620	1255
1236	849	631	1274
1206	849	640	1245
1192	832	646	1253
1044	630	845	1099
1053	648	808	1109
1023	600	872	1089
1005	620	846	1098
959	578	907	1079
1049	686	793	1159
1255	983	555	1439
1285	1009	517	1452
1254	973	543	1403
1253	966	560	1378
1242	935	584	1327
1212	918	593	1308
1165	839	652	1214
1136	781	712	1169
1233	926	617	1293
1177	800	696	1191
1223	883	614	1289
1360	1063	507	1483
1435	1140	477	1550
1305	995	552	1402
1199	869	618	1306
1217	921	589	1336
1200	847	636	1297
1150	807	669	1243
1086	726	736	1192
1027	684	788	1149
993	640	848	1110
985	610	851	1101
934	552	966	1063
977	631	859	1120
970	618	888	1095
1041	706	778	1178
1144	821	651	1262
1209	933	581	1329
1083	727	763	1135
1063	678	796	1107
988	600	912	1033
1060	686	830	1110
1087	717	786	1112
1153	798	715	1184
1167	838	660	1227
1370	1072	535	1428
1403	1142	492	1518
1364	1061	534	1436
1111	825	679	1238
1091	777	711	1217
1107	777	697	1221
1095	746	716	1217
1027	673	794	1160
996	631	845	1153
955	582	902	1118
947	553	944	1110
1003	650	831	1158
1120	815	660	1291
1476	1219	459	1673
1653	1573	345	2147
1403	1161	487	1576
1241	1011	545	1428
1176	914	621	1347
1160	862	636	1320
1224	977	571	1424
1175	906	616	1332
1235	947	594	1362
1288	1064	539	1446
1512	1386	425	1831
1609	1544	367	1999
1537	1446	392	1855
1315	1126	498	1537
1155	909	604	1331
1033	759	735	1185
1078	808	696	1221
1069	799	682	1211
952	648	847	1107
910	570	964	1060
878	517	1069	1046
899	556	1001	1064
939	620	905	1095
1001	701	816	1130
1303	1102	536	1488
1557	1499	381	1945
1402	1263	446	1640
1380	1170	477	1566
1350	1168	475	1564
1283	1061	525	1434
1293	1064	522	1446
1197	943	599	1294
1142	924	629	1236
1147	914	633	1233
1448	1322	447	1655
1487	1350	418	1698
1476	1308	428	1674
1282	1013	545	1384
1147	848	636	1289
1130	828	645	1283
1154	822	656	1285
1049	683	782	1190
1056	672	769	1184
1011	622	827	1158
993	604	848	1160
976	568	891	1143
1050	690	761	1223
1143	818	646	1316
1606	1360	396	1895
1592	1478	360	1975
1510	1282	419	1726
1421	1172	474	1513
1169	987	596	1285
1187	1014	578	1315
1171	1045	570	1291
1175	1040	582	1268
1216	1050	564	1311
1239	1062	558	1299
1463	1383	440	1636
1616	1610	374	1909
1663	1597	366	1906
1445	1263	464	1500
1293	1052	536	1332
1354	1084	502	1380
1251	973	559	1277
1222	902	590	1256
1044	702	746	1099
1006	659	791	1082
953	583	889	1043
959	598	878	1045
949	607	884	1043
1073	760	727	1128
1499	1291	444	1653
1404	1149	469	1523
1465	1241	434	1572
1474	1158	469	1476
1611	1233	413	1687
1590	1219	410	1677
1422	1120	476	1525
1273	988	563	1387
1296	1014	543	1401
1247	989	557	1383
1359	1135	505	1500
1726	1570	359	2021
1818	1675	330	2143
1667	1410	383	1818
1549	1233	424	1648
1385	1045	496	1462
1320	950	542	1428
1205	828	622	1344
1099	709	727	1263
1106	715	714	1279
1099	718	714	1300
1042	671	754	1255
980	621	858	1190
1138	782	705	1321
1517	1222	437	1750
1537	1374	384	1941
1296	1017	526	1494
1255	958	579	1420
1367	1105	503	1578
1473	1210	462	1686
1422	1175	474	1647
1378	1125	502	1601
1446	1224	471	1706
1473	1235	468	1702
1619	1411	417	1908
1673	1484	397	2008
1605	1397	420	1891
1460	1201	466	1685
1407	1117	486	1596
1286	982	550	1458
1372	1054	504	1534
1312	995	527	1488
1205	867	601	1361
1167	829	622	1360
1122	811	641	1336
1126	779	663	1309
1121	757	672	1293
1135	797	651	1325
1248	939	565	1458
1325	1010	513	1522
1347	1000	510	1490
1317	952	541	1443
1243	912	579	1406
1169	841	623	1361
1085	769	711	1264
1177	896	616	1374
1207	888	611	1382
1269	1005	553	1463
1205	996	559	1456
1218	1009	553	1486
1183	914	604	1387
1242	978	564	1449
1263	990	553	1465
1139	865	625	1362
1166	829	632	1338
1079	727	724	1275
1008	669	791	1241
1034	707	740	1267
1001	675	778	1260
977	605	852	1212
986	602	878	1211
1082	720	697	1297
1068	688	725	1289
1136	733	692	1344
1184	743	672	1369
1179	738	680	1335
1182	761	677	1338
1082	700	759	1286
996	620	820	1238
1024	630	862	1240
1093	682	797	1256
1170	756	713	1341
1153	734	712	1324
1220	796	652	1367
1218	825	627	1393
1172	810	637	1376
1182	812	650	1368
1160	794	658	1356
1106	728	722	1309
1031	652	803	1256
1015	640	821	1247
1003	635	829	1235
951	583	905	1212
938	575	955	1195
933	574	937	1201
1010	656	815	1260
1025	675	798	1257
1086	756	700	1308
1111	773	690	1331
1129	788	692	1305
1097	721	746	1266
1029	670	800	1223
1071	752	736	1289
1053	721	764	1216
1055	693	789	1203
1176	822	704	1294
1293	965	589	1399
1307	1063	554	1432
1163	954	600	1369
1103	861	660	1310
1120	817	669	1310
1107	810	677	1311
1078	766	692	1269
963	646	834	1181
923	596	908	1148
853	502	1117	1087
883	530	997	1102
921	575	956	1143
1031	748	738	1245
1371	1180	472	1632
1519	1461	370	2005
1409	1262	434	1709
1303	1128	489	1573
1184	978	567	1425
1202	1052	519	1525
1197	1040	530	1519
1234	1049	523	1516
1247	1059	508	1550
1234	1060	509	1504
1339	1200	457	1671
1331	1160	474	1598
1251	1097	502	1541
1267	1102	498	1545
1145	938	591	1376
1010	752	740	1218
1025	761	745	1237
1024	759	721	1224
938	679	829	1144
905	615	885	1104
826	512	1108	1043
879	539	1045	1073
901	589	933	1109
948	702	801	1164
1250	1069	532	1457
1263	1138	503	1533
1319	1164	489	1543
1202	1055	534	1458
1109	896	629	1308
1136	962	594	1350
1082	910	629	1301
1070	947	609	1292
1070	917	633	1252
1123	945	623	1303
1271	1183	493	1498
1304	1212	476	1585
1360	1295	451	1639
1278	1147	505	1536
1130	933	608	1373
1066	802	689	1282
1090	841	661	1317
1013	754	729	1245
998	718	757	1230
923	616	874	1169
904	565	942	1144
884	556	965	1135
936	628	876	1173
1068	816	681	1264
1531	1394	407	1860
1184	1012	567	1397
1064	848	692	1212
996	759	773	1119
984	724	810	1088
980	728	808	1098
970	710	833	1094
940	656	913	1052
963	691	857	1075
961	702	849	1070
1067	836	713	1206
1084	866	682	1219
1102	912	647	1287
976	731	787	1095
895	607	944	1012
886	568	1015	992
886	589	975	1001
