CO	C6H6	NOx	NO2
3	9.35	812	235
1	9.3	339	162
1.5	12.1	354	172
2.2	14.2	466	182
1.7	12.3	417	180
1.1	10.2	289	156
1.3	10.4	324	168
1.5	13.9	376	181
3.4	23.1	619	226
3.8	22.8	689	231
2.8	13.4	582	222
0.8	6.8	287	165
0.5	6	238	151
1	5.7	312	174
0.4	3.9	231	145
0.4	4.9	234	147
0.3	4.5	195	134
2.25	2.3	113	85
2.25	1.5	73	55
2.25	1.5	103	65
2.25	1.8	121	84
0.1	3.3	132	88
0.2	5.8	178	109
0.6	6.2	218	130
0.7	6.7	246	137
0.6	5.6	252	145
0.3	5.8	208	128
0.5	7	219	129
0.2	3.8	160	105
0.4	5.5	191	114
0.7	7.6	270	146
0.9	8.3	285	156
0.8	7.5	289	152
2.4	14.1	550	201
3.3	12.4	679	221
0.9	5.8	314	157
0.1	3.9	166	114
0.1	2.8	157	107
0.1	3.1	173	113
0.2	3.3	184	118
2.25	2	93	69
2.25	2.5	85	63
2.25	2	79	61
2.25	0.9	55	42
2.25	1.6	98	68
2.25	2.1	190	120
0.1	3	166	112
0.3	5	260	148
1	7.7	362	160
1.6	10.1	415	164
1.4	8.5	358	159
0.3	2.8	170	110
0.1	3.3	130	82
0.3	5	177	102
0.5	5.6	233	119
0.8	7.1	282	135
3.2	16.7	583	215
2.8	12.5	566	211
1	6.6	323	172
0.9	8.3	318	166
0.9	7.1	336	168
0.4	3.8	196	134
0.4	5.2	193	122
0.3	5.3	192	123
0.1	3.8	147	104
2.25	2.8	122	90
0.8	2.9	117	85
1	4.4	201	103
1.6	7.5	318	127
3.5	15.7	658	163
4	22.9	680	155
3.5	10.8	497	170
1.6	6.1	290	141
1.5	7	230	123
1.5	7.1	215	124
1.7	8.1	226	126
1.6	7.7	240	128
2.4	10.8	391	158
3.4	14.4	492	177
5.4	25.4	700	225
6.5	29.1	782	234
6.5	28.3	728	227
4	14.2	510	192
2.1	8.4	308	158
1.6	7.5	248	149
1.5	5.2	233	140
0.7	2.2	96	79
0.7	2	90	69
0.6	1.8	95	72
0.5	1.1	68	58
0.4	1.2	75	59
0.6	2.4	145	88
0.9	3.8	185	110
2.6	14	506	151
3.3	18.9	485	158
4	15.6	684	194
3.1	13.2	562	181
2.2	10.3	357	161
2.1	9.7	306	143
2.2	10	292	142
1.9	10.9	305	146
2.5	12.3	386	166
2.9	14.2	408	172
3.9	21.6	521	196
6.3	30.9	766	243
7.4	33.5	841	248
5.7	19.9	754	233
2.3	8.4	350	174
1.5	6.1	244	149
1.4	5.7	221	134
1.1	4	183	123
0.9	2.9	166	111
0.7	2	133	93
0.6	1.7	147	97
0.6	1.6	119	86
0.8	3.3	179	99
1	3.6	178	99
2.1	10.2	390	129
4.2	25.2	579	161
4.3	16	735	202
3.2	13.3	568	200
2.8	11.9	487	194
2.4	10.9	343	173
2.5	11	351	169
2.9	17.3	417	188
3	12.4	509	211
3.6	17.4	573	210
3.5	17.5	518	193
4.8	26.2	641	227
4.4	23.1	544	223
4.9	23.5	582	229
2.9	13.3	407	194
2.1	10.5	327	171
1.6	6.3	221	147
1.2	4.4	142	111
0.9	3.3	123	104
0.7	2	106	90
2.25	1.9	100	81
0.5	1.4	85	69
0.6	2.3	114	84
1.3	5.9	299	123
3.8	18.9	723	166
5.6	26.1	745	189
4.4	16.2	668	217
3	10.8	571	196
2.2	11.1	388	189
2	10.2	323	174
2.2	11.9	312	161
2.1	11.8	320	158
2.2	10.9	322	161
1.9	8.6	276	147
2.7	15	341	165
3.9	21.3	531	214
5.6	24.8	653	228
4.9	18.4	646	240
2.2	9.1	333	188
1.9	8.1	299	173
1.4	5.9	224	150
1.3	5.1	195	134
1.1	4.5	209	132
0.9	3.2	168	117
0.9	2.8	153	103
0.7	2	140	99
0.8	3.3	184	106
1.2	5.4	266	113
2.9	14.5	518	141
5.4	26.5	681	180
4.3	17.6	558	192
3.1	14.9	457	187
2.4	10.3	353	169
2.3	12	313	161
2.3	10.4	290	160
2.3	12.9	318	177
3.4	15.1	479	219
3.7	15.8	494	212
4.1	20.1	551	225
5.6	25.6	701	240
5.3	24	571	223
4.9	18.3	643	241
2	7.2	282	159
1.9	6.8	251	150
2.2	6.8	307	163
1.9	6.4	282	155
1.1	2.7	160	119
1	2.9	125	94
0.9	2.2	106	80
0.9	2.5	111	83
0.7	1.9	115	79
1	3.6	156	96
2	10.1	320	141
2.7	10.9	380	153
2.5	9.9	371	156
2.4	9.7	343	162
2.2	8.9	297	164
2.1	8.5	281	160
1.8	6.6	220	140
1.4	5.4	174	119
2.1	8.7	260	153
1.7	5.8	222	139
1.9	7.6	266	156
2.7	12.4	387	183
3.2	14.7	425	185
3.3	10.5	484	200
2.3	7.3	325	163
1.9	8.5	257	154
1.9	6.8	273	151
1.9	5.9	276	149
1.5	4.3	202	131
1.1	3.5	132	94
2.25	2.8	85	66
0.8	2.4	87	69
0.6	1.6	70	57
0.7	2.7	113	78
0.7	2.5	112	84
1	3.9	140	97
1.5	6.2	214	123
2.4	8.8	334	166
1.6	4.3	203	130
1.2	3.4	163	109
0.9	2.2	110	82
0.9	3.6	107	73
1.1	4.1	135	91
1.4	5.7	187	109
1.7	6.6	240	128
2.9	12.7	398	155
4	14.8	585	176
4	12.3	590	179
1.9	6.3	295	124
1.5	5.3	209	105
1.5	5.3	183	99
1.6	4.7	177	104
1.1	3.3	126	95
0.8	2.7	100	81
0.7	2	83	68
0.6	1.6	84	69
0.7	3	113	73
1.3	6.1	270	113
3.2	17.3	487	141
6.1	31	723	174
4.3	15.4	614	178
2.6	10.9	395	163
2	8.4	310	143
1.8	7.1	259	127
2.1	10	251	131
2.1	8.2	261	135
2	9.2	241	131
2.6	12.4	317	153
4.5	23.3	505	198
6.4	29.7	669	232
6	25.7	638	224
3.8	14.3	433	183
2.1	8.2	252	144
1.2	4.9	154	117
1.3	5.9	152	106
1.5	5.7	181	121
0.9	2.9	109	87
0.7	1.8	73	62
0.5	1.2	83	70
0.6	1.6	90	66
0.7	2.5	151	88
0.9	3.8	191	93
2.2	13.5	403	116
4.7	27.8	555	151
4.5	18.8	551	169
3.1	15.7	473	166
2.8	15.6	388	160
2.4	12.3	296	145
2.5	12.4	283	131
2	9.1	256	130
1.7	8.6	234	122
1.7	8.4	215	113
3.3	20.9	454	156
4.5	21.9	605	198
5.8	20.4	529	175
4.3	11	354	141
3	6.8	195	101
2.8	6.3	161	102
2.7	6.2	187	119
2.4	3.5	156	110
2.2	3.3	116	87
2	2.5	83	66
2.25	2.3	85	65
0.5	1.8	78	63
0.7	3.6	127	71
1.2	6.1	279	103
3.9	22.3	649	144
4.9	27	593	158
4.6	19.5	584	169
3.4	15.8	563	184
2	10.3	337	143
1.9	11	272	133
2.4	11.9	322	141
2.4	11.7	362	153
2.2	12	361	149
2.5	12.3	431	159
3.9	23.2	545	181
6.2	32.6	796	227
7.2	32	874	230
3.9	18.8	551	194
2.4	12.1	393	172
2.3	13	369	158
1.9	9.9	314	144
1.7	8.1	294	133
0.9	3.8	165	109
0.7	3.1	143	94
0.5	2	93	73
0.4	2.2	111	76
0.4	2.3	105	74
0.7	4.9	173	73
3.1	19.8	541	107
3.4	15	581	115
3.5	18.1	591	132
3.2	15.3	653	155
3.2	17.8	690	140
3.3	17.3	602	147
3	14.1	489	161
2	10.3	288	123
2.3	11	323	142
2.2	10.3	301	143
2.7	14.6	335	153
5.9	30.8	659	200
7.5	35.5	847	232
5	24.2	691	201
4	17.8	590	175
2.7	11.9	449	159
2	9.3	316	135
1.5	6.3	239	128
1	4	165	109
1	4.1	152	101
0.9	4.1	144	96
0.8	3.3	126	87
0.6	2.5	132	81
1	5.4	228	100
3.2	17.4	580	146
4.3	22.9	564	158
2.7	11.1	369	136
1.6	9.5	260	117
1.4	13.6	371	140
2.3	17	513	169
2.1	15.8	471	163
1.4	14.3	378	144
3.4	17.5	445	153
3.8	17.8	483	164
4.9	24.3	530	174
5.7	27.2	649	196
5.5	23.7	604	189
3.9	16.7	486	155
3.1	14	402	137
2	10.1	268	117
2.5	12.1	350	128
2.2	10.5	312	124
1.5	7.2	243	108
1.2	6.4	202	89
2.25	6	181	92
0.8	5.3	139	84
0.1	4.9	156	83
1.1	5.7	175	80
1.7	9	281	93
2.1	10.9	322	106
2.3	10.6	369	115
2.1	9.3	366	124
1.9	8.3	301	113
1.7	6.6	232	104
1.3	5.1	156	85
1.3	7.9	169	94
1.6	7.7	203	99
2.2	10.7	260	112
2.3	10.5	289	122
2.2	10.9	273	119
2	8.4	263	119
2.3	10	295	127
2.2	10.3	303	126
1.6	7.2	209	111
1.6	6.4	200	102
1.3	4.3	174	93
1	3.3	115	78
1	3.9	122	74
1	3.4	105	68
0.8	2.3	102	68
0.7	2.3	96	61
1.1	4.2	144	76
1.1	3.6	152	78
1.1	4.4	156	79
1.4	4.6	208	90
1.3	4.5	174	89
1.5	5	206	97
1.3	3.8	160	91
0.8	2.5	91	62
0.9	2.7	106	66
1.4	3.5	199	104
1.8	4.9	299	126
1.6	4.4	272	122
1.8	5.7	285	121
2.1	6.3	307	126
1.9	6	237	115
1.7	6	244	116
1.9	5.6	284	120
1.6	4.3	221	111
1.2	3	173	101
1	2.8	144	92
1	2.7	117	78
0.8	2	89	63
0.6	1.9	97	63
0.6	1.9	95	63
1	3.1	166	84
1	3.4	160	89
1.3	4.9	176	101
1.5	5.2	216	115
1.6	5.5	220	111
1.4	4.2	183	96
1.4	3.3	154	87
1.2	4.8	132	81
1.3	4.2	140	85
1.4	3.7	186	98
1.6	6.2	213	109
2.8	9.7	376	150
3.7	12.4	508	175
2.9	9.4	388	157
1.8	7.1	250	130
1.6	6.1	232	120
1.7	6	229	114
1.5	5	184	100
1	2.9	117	83
0.8	2.2	103	72
0.5	1	66	51
2.25	1.3	63	46
0.5	1.9	95	58
1	4.7	188	86
3	16	527	122
5.1	26.3	623	140
4.3	18.8	606	146
3.3	14.4	460	152
2.4	10	346	147
2.4	12.1	296	134
2.5	11.7	321	136
2.3	12	312	142
2.7	12.3	355	153
2.7	12.3	349	153
3.3	16.7	385	155
3.9	15.3	456	181
2.6	13.4	306	151
3.2	13.5	402	159
2.3	9	340	151
1.4	4.8	206	127
1.1	5	158	107
1.2	4.9	178	101
0.9	3.4	118	80
0.7	2.4	95	68
0.5	1.1	84	61
0.4	1.4	82	56
0.5	2.1	122	70
0.8	3.8	146	78
2.3	12.6	397	106
2.9	14.7	371	117
3.1	15.5	454	144
2.7	12.1	433	158
1.8	7.9	287	137
1.9	9.6	265	130
1.8	8.3	225	125
1.8	9.2	210	124
1.8	8.4	215	125
1.7	9.2	227	135
3.2	16.1	403	179
3.4	17.1	444	183
4.2	19.9	475	193
3.5	14.9	438	185
2	8.8	254	147
1.4	5.8	172	117
1.5	6.6	174	112
1.2	4.8	146	101
1.1	4.1	134	93
0.7	2.5	83	64
0.6	1.7	81	61
0.5	1.6	73	54
0.6	2.6	104	64
0.9	6.1	191	80
4	23.6	673	133
4.1	10.9	547	170
1.9	6.8	275	139
1.3	4.9	200	124
1.2	4.2	185	118
1.2	4.3	164	108
1.2	4	150	100
0.9	3.1	134	91
1	3.7	128	89
1.1	3.8	150	102
1.5	6.5	171	114
2.1	7.2	204	124
2.1	8.3	215	136
1.5	4.4	156	118
1	2.3	114	93
0.8	1.8	81	72
0.8	2.1	83	69
